##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"02 - Judiciária";"03 - Essencial à Justiça";"04 - Administração";"05 - Defesa Nacional";"06 - Segurança Pública";"07 - Relações Exteriores";"08 - Assistência Social";"09 - Previdência Social";"10 - Saúde";"11 - Trabalho";"12 - Educação";"13 - Cultura";"14 - Direitos da Cidadania";"15 - Urbanismo";"16 - Habitação";"17 - Saneamento";"18 - Gestão Ambiental";"19 - Ciência e Tecnologia";"20 - Agricultura";"21 - Organização Agrária";"22 - Indústria";"23 - Comércio e Serviços";"24 - Comunicações";"25 - Energia";"26 - Transporte";"27 - Desporto e Lazer";"28 - Encargos Especiais";"Despesas (Exceto Intraorçamentárias)";"Despesas (Intraorçamentárias)";lof_relativo_med
Prefeitura Municipal de Santa Cruz do Sul - RS; 4316808; RS; 125353; 0.73% / 7199311.14 / 4964449.21; 0.05% / 0 / 150272.63; 0.87% / 2696040.79 / 12500.00; 2.50% / 18909888.57 / 26594279.93; 0.00% / 0 / 0.00; 1.46% / 4847952.56 / 370306.36; 0.00% / 0 / 0.00; 2.30% / 12976483.27 / 5928956.08; 2.11% / 0 / 6479419.73; 21.24% / 111857997.60 / 46664612.47; 0.01% / 0 / 41028.00; 3.07% / 68360544.71 / 58944500.95; 0.39% / 899422.33 / 2083087.76; 0.01% / 0 / 29250.90; 1.60% / 18579335.43 / 13653977.57; 1.30% / 4084263.92 / 108930.00; 0.41% / 1404410.61 / 2669308.68; 0.81% / 3095593.83 / 611340.86; 0.02% / 48285.00 / 1200.23; 0.88% / 3519901.56 / 829785.66; 0.00% / 0 / 0.00; 0.02% / 162085.99 / 114375.76; 2.02% / 6369434.98 / 164392.77; 0.07% / 246625.00 / 22800.91; 0.11% / 0 / 332751.04; 6.52% / 22219993.44 / 2208507.65; 0.07% / 403932.75 / 616132.19; 6.70% / 23461584.06 / 2903190.28; 43.93% / 311343087.54 / 176499357.59; 0.81% / 0 / 2493823.74; 1.64
Prefeitura Municipal de Cubatão - SP; 3513504; SP; 126105; 1.71% / 26531288.13 / 4964449.21; 0.01% / 0 / 150272.63; 0.00% / 0 / 12500.00; 8.78% / 137375095.49 / 26594279.93; 0.00% / 0 / 0.00; 0.02% / 576589.17 / 370306.36; 0.00% / 0 / 0.00; 2.54% / 37984723.81 / 5928956.08; 9.77% / 129806564.62 / 6479419.73; 7.34% / 139368850.26 / 46664612.47; 0.00% / 435.00 / 41028.00; 10.40% / 190232188.70 / 58944500.95; 0.81% / 12315371.46 / 2083087.76; 0.00% / 0 / 29250.90; 0.75% / 23106829.14 / 13653977.57; 0.02% / 357969.72 / 108930.00; 0.13% / 982167.72 / 2669308.68; 1.46% / 19008160.90 / 611340.86; 0.00% / 0 / 1200.23; 0.07% / 0 / 829785.66; 0.00% / 0 / 0.00; 0.01% / 0 / 114375.76; 0.01% / 0 / 164392.77; 0.00% / 0 / 22800.91; 0.03% / 0 / 332751.04; 0.17% / 0 / 2208507.65; 0.53% / 7285778.07 / 616132.19; 2.46% / 33943756.78 / 2903190.28; 46.14% / 758875768.97 / 176499357.59; 6.83% / 88750913.39 / 2493823.74; 2.44
Prefeitura Municipal de Rio das Ostras - RJ; 3304524; RJ; 127171; 0.80% / 13281687.04 / 4964449.21; 0.01% / 0 / 150272.63; 0.00% / 0 / 12500.00; 6.12% / 90032189.51 / 26594279.93; 0.00% / 0 / 0.00; 2.08% / 21973603.81 / 370306.36; 0.00% / 0 / 0.00; 1.32% / 19646100.97 / 5928956.08; 0.21% / 8643208.16 / 6479419.73; 10.25% / 152955648.85 / 46664612.47; 0.00% / 0 / 41028.00; 8.60% / 148201643.48 / 58944500.95; 0.60% / 8261498.81 / 2083087.76; 0.00% / 13739.00 / 29250.90; 2.76% / 42319109.82 / 13653977.57; 0.01% / 79.90 / 108930.00; 8.35% / 89294911.11 / 2669308.68; 5.13% / 53865156.80 / 611340.86; 0.37% / 3841142.23 / 1200.23; 0.06% / 223457.84 / 829785.66; 0.00% / 0 / 0.00; 0.03% / 380859.62 / 114375.76; 1.66% / 17339576.65 / 164392.77; 0.00% / 0 / 22800.91; 0.03% / 0 / 332751.04; 0.22% / 4533549.36 / 2208507.65; 0.78% / 8750118.94 / 616132.19; 0.21% / 769820.08 / 2903190.28; 48.95% / 684327101.98 / 176499357.59; 1.43% / 17374461.63 / 2493823.74; 2.96
Prefeitura Municipal de Toledo - PR; 4127700; PR; 130295; 0.31% / 5929218.52 / 5188872.96; 0.10% / 0 / 233360.06; 0.01% / 0 / 12500.00; 2.63% / 22269389.44 / 28570397.04; 0.00% / 0 / 0.00; 1.96% / 5110876.59 / 398158.16; 0.00% / 0 / 0.00; 4.23% / 16399352.74 / 6253844.18; 7.80% / 25094225.05 / 6379338.88; 3.97% / 60049826.52 / 50520060.54; 4.26% / 10329610.91 / 110918.86; 1.25% / 62444579.92 / 65444723.54; 0.22% / 1837530.64 / 2369892.43; 0.03% / 98816.84 / 32359.99; 2.42% / 20143011.48 / 14343593.75; 0.06% / 249582.86 / 116599.32; 0.88% / 0 / 2105743.94; 2.48% / 6643604.40 / 684489.79; 0.00% / 0 / 1200.23; 0.42% / 2176419.75 / 1158674.04; 0.00% / 0 / 0.00; 1.32% / 3296269.80 / 137875.76; 0.07% / 0 / 156037.77; 0.54% / 1336325.95 / 37017.41; 0.20% / 0 / 485676.24; 3.27% / 9603887.94 / 1767812.45; 2.76% / 7318416.47 / 688053.90; 13.57% / 35987577.59 / 3422752.84; 44.04% / 296318523.41 / 190619954.10; 1.22% / 0 / 2926468.14; 2.02
Prefeitura Municipal de Araucária - PR; 4101804; PR; 131356; 2.01% / 21607816.65 / 5188872.96; 0.03% / 0 / 233360.06; 0.00% / 0 / 12500.00; 10.35% / 113340493.09 / 28570397.04; 0.00% / 0 / 0.00; 1.94% / 16244880.56 / 398158.16; 0.00% / 0 / 0.00; 0.97% / 14214949.67 / 6253844.18; 3.96% / 38806644.35 / 6379338.88; 10.25% / 134462029.87 / 50520060.54; 0.20% / 1743272.27 / 110918.86; 9.81% / 145792500.18 / 65444723.54; 0.19% / 3926241.46 / 2369892.43; 0.00% / 0 / 32359.99; 0.72% / 8468892.58 / 14343593.75; 0.22% / 1936911.34 / 116599.32; 0.26% / 0 / 2105743.94; 1.39% / 12072202.52 / 684489.79; 0.00% / 0 / 1200.23; 0.46% / 4905950.09 / 1158674.04; 0.00% / 0 / 0.00; 0.02% / 0 / 137875.76; 0.02% / 0 / 156037.77; 0.00% / 0 / 37017.41; 0.06% / 0 / 485676.24; 4.52% / 38775412.79 / 1767812.45; 0.70% / 6417425.96 / 688053.90; 1.32% / 14193191.83 / 3422752.84; 47.18% / 576908815.21 / 190619954.10; 3.41% / 30880472.84 / 2926468.14; 1.62
Prefeitura Municipal de Barbacena - MG; 3105608; MG; 133972; 0.13% / 5802044.62 / 5557804.94; 0.13% / 0 / 233360.06; 0.32% / 630387.46 / 52562.71; 3.34% / 36674660.01 / 30560922.39; 0.00% / 0 / 0.00; 1.48% / 3158051.17 / 453726.23; 0.00% / 0 / 0.00; 1.93% / 3032152.16 / 6576891.24; 12.04% / 29097081.53 / 7029707.67; 19.32% / 90004306.34 / 54602374.90; 0.06% / 0 / 111651.55; 17.83% / 36852259.62 / 69528493.80; 0.91% / 665922.90 / 2337087.54; 0.46% / 857991.40 / 14307.44; 7.60% / 2067327.36 / 15992093.49; 0.08% / 0 / 140737.95; 7.12% / 14350956.93 / 1297196.10; 0.34% / 400.00 / 630315.53; 0.00% / 0 / 1200.23; 0.60% / 2298948.72 / 1206499.83; 0.00% / 0 / 0.00; 0.08% / 0 / 137485.26; 0.05% / 255000.00 / 172208.57; 0.69% / 1275149.24 / 19383.13; 2.26% / 4624934.40 / 485676.24; 0.86% / 0 / 1578966.70; 0.33% / 244487.82 / 852624.52; 0.01% / 3857446.47 / 3838134.19; 17.65% / 235749508.15 / 203411412.23; 4.39% / 11569345.23 / 3524209.00; 1.58
Prefeitura Municipal de Atibaia - SP; 3504107; SP; 135895; 1.76% / 0 / 5675954.06; 1.51% / 5120355.66 / 233360.06; 0.02% / 0 / 52562.71; 2.57% / 39105822.72 / 30803175.76; 0.00% / 0 / 0.00; 2.93% / 9897988.11 / 453726.23; 0.00% / 0 / 0.00; 1.81% / 12169817.01 / 6322460.62; 1.92% / 2363238.80 / 8553301.50; 9.74% / 86174983.42 / 54721802.99; 0.03% / 0 / 111651.55; 10.22% / 103962724.82 / 70953602.56; 1.79% / 8126288.42 / 2351231.26; 0.25% / 817271.00 / 14307.44; 8.35% / 43586493.55 / 16627786.46; 0.34% / 1224527.44 / 140737.95; 0.39% / 0 / 1264720.42; 0.19% / 26000.00 / 630315.53; 0.00% / 0 / 1200.23; 1.22% / 5086286.46 / 1158947.74; 0.00% / 0 / 0.00; 0.04% / 0 / 137485.26; 3.16% / 10406480.53 / 197551.58; 1.10% / 3562200.14 / 19383.13; 0.15% / 0 / 485676.24; 1.90% / 7650655.05 / 1520799.03; 1.37% / 5335628.96 / 911185.13; 1.20% / 7652154.25 / 3788346.27; 44.96% / 352268916.34 / 207131271.72; 1.09% / 0 / 3524209.00; 1.89
Prefeitura Municipal de Botucatu - SP; 3507506; SP; 137899; 1.45% / 3416132.13 / 5801616.41; 0.18% / 0 / 293304.38; 0.06% / 0 / 90664.51; 1.09% / 30448194.51 / 32243769.68; 0.03% / 54862.37 / 0.00; 1.72% / 3295050.10 / 470971.53; 0.00% / 0 / 0.00; 2.54% / 10373815.57 / 6203851.14; 2.41% / 12924492.15 / 8975123.72; 5.11% / 63640096.60 / 55261842.73; 2.55% / 4355207.83 / 175520.51; 12.86% / 92226210.95 / 71140377.77; 3.18% / 7430552.95 / 2218955.19; 0.03% / 0 / 54666.07; 6.02% / 26846344.03 / 16965674.26; 2.45% / 4187442.02 / 169878.46; 6.36% / 12011315.26 / 1574308.20; 0.38% / 1271048.22 / 643856.49; 0.42% / 692580.54 / 1200.23; 0.36% / 538785.78 / 1121635.53; 0.00% / 0 / 0.00; 0.05% / 30106.26 / 120117.24; 0.40% / 860127.07 / 197551.58; 0.00% / 18247.42 / 17288.39; 0.42% / 0 / 692876.61; 0.38% / 819193.56 / 1443486.31; 2.32% / 4688883.85 / 879668.70; 0.56% / 2830775.62 / 3757235.01; 44.17% / 282959464.79 / 210515440.67; 2.47% / 0 / 4057174.56; 1.75
Prefeitura Municipal de Teófilo Otoni - MG; 3168606; MG; 140567; 0.08% / 5925069.48 / 5801616.41; 0.19% / 0 / 293304.38; 0.06% / 0 / 90664.51; 8.26% / 19624897.54 / 32243769.68; 0.00% / 0 / 0.00; 0.31% / 1502.00 / 470971.53; 0.00% / 0 / 0.00; 0.03% / 6165316.81 / 6203851.14; 5.24% / 963649.50 / 8975123.72; 29.42% / 100208964.42 / 55261842.73; 0.11% / 0 / 175520.51; 16.60% / 45774749.16 / 71140377.77; 0.99% / 712848.59 / 2218955.19; 0.04% / 0 / 54666.07; 1.37% / 14865350.20 / 16965674.26; 0.11% / 150.40 / 169878.46; 0.78% / 381219.95 / 1574308.20; 0.09% / 512800.99 / 643856.49; 0.00% / 0 / 1200.23; 0.69% / 2171081.59 / 1121635.53; 0.00% / 0 / 0.00; 6.37% / 9852511.91 / 120117.24; 0.12% / 17940.00 / 197551.58; 0.01% / 32000.00 / 17288.39; 2.36% / 4305069.25 / 692876.61; 0.42% / 807616.12 / 1443486.31; 0.08% / 994817.80 / 879668.70; 8.97% / 17460666.96 / 3757235.01; 13.26% / 230778222.67 / 210515440.67; 4.04% / 10227095.61 / 4057174.56; 1.66
Prefeitura Municipal de Maricá - RJ; 3302700; RJ; 143111; 0.64% / 9474889.09 / 5801616.41; 0.05% / 0 / 293304.38; 0.02% / 0 / 90664.51; 12.06% / 101411474.94 / 32243769.68; 0.00% / 0 / 0.00; 0.08% / 29666.32 / 470971.53; 0.00% / 0 / 0.00; 0.23% / 4865381.02 / 6203851.14; 1.25% / 16134127.84 / 8975123.72; 4.91% / 83414844.81 / 55261842.73; 0.01% / 122756.16 / 175520.51; 3.23% / 89665991.80 / 71140377.77; 0.39% / 2636.25 / 2218955.19; 1.53% / 8840454.73 / 54666.07; 15.22% / 104236056.00 / 16965674.26; 0.03% / 309.05 / 169878.46; 1.57% / 10586857.03 / 1574308.20; 3.30% / 19563657.00 / 643856.49; 0.00% / 0 / 1200.23; 0.20% / 0 / 1121635.53; 0.00% / 0 / 0.00; 0.02% / 0 / 120117.24; 0.70% / 4222916.93 / 197551.58; 0.00% / 0 / 17288.39; 1.86% / 11388114.82 / 692876.61; 0.30% / 3169820.56 / 1443486.31; 0.93% / 6232076.59 / 879668.70; 2.14% / 16034253.94 / 3757235.01; 48.62% / 489396284.88 / 210515440.67; 0.71% / 0 / 4057174.56; 2.39
Prefeitura Municipal de Camaragibe - PE; 2603454; PE; 152840; 3.78% / 0 / 6400478.14; 0.01% / 239150.36 / 254578.00; 0.09% / 0 / 148616.71; 10.42% / 16153260.98 / 33785900.28; 0.00% / 0 / 0.00; 5.42% / 9460098.75 / 297429.27; 0.00% / 0 / 0.00; 0.05% / 6895525.22 / 6804375.55; 2.86% / 6121331.59 / 10966688.20; 3.34% / 69166391.38 / 63518141.63; 0.11% / 540.00 / 179486.43; 24.47% / 37222161.63 / 78620984.58; 0.11% / 2273810.49 / 2454548.02; 0.04% / 0 / 60174.94; 0.39% / 21530119.24 / 22187437.10; 0.12% / 0 / 206799.94; 0.82% / 52685.12 / 1437165.08; 0.34% / 0 / 570224.11; 0.00% / 0 / 436.35; 1.40% / 3221877.71 / 855705.54; 0.00% / 0 / 0.00; 0.06% / 0 / 98001.15; 0.51% / 1003716.56 / 147686.49; 0.01% / 0 / 17288.39; 0.45% / 0 / 764924.86; 0.75% / 13087.68 / 1278406.27; 0.72% / 39519.15 / 1252050.38; 2.80% / 0 / 4735242.58; 37.63% / 173393275.86 / 237042770.01; 3.32% / 0 / 5620372.80; 1.51
Prefeitura Municipal de Palhoça - SC; 4211900; SC; 154244; 2.02% / 9650206.91 / 6400478.14; 0.94% / 1763468.51 / 254578.00; 0.09% / 0 / 148616.71; 4.94% / 41716398.11 / 33785900.28; 0.00% / 0 / 0.00; 3.34% / 5666524.43 / 297429.27; 0.00% / 0 / 0.00; 2.57% / 10939382.25 / 6804375.55; 0.63% / 9950237.00 / 10966688.20; 4.70% / 55963896.17 / 63518141.63; 0.11% / 0 / 179486.43; 4.74% / 86236628.27 / 78620984.58; 1.20% / 526102.85 / 2454548.02; 0.04% / 0 / 60174.94; 6.93% / 11053333.61 / 22187437.10; 0.23% / 569603.90 / 206799.94; 20.53% / 34404784.88 / 1437165.08; 0.44% / 1284648.05 / 570224.11; 0.00% / 0 / 436.35; 0.26% / 1270968.99 / 855705.54; 0.22% / 353451.73 / 0.00; 0.06% / 0 / 98001.15; 0.33% / 679555.24 / 147686.49; 0.01% / 0 / 17288.39; 6.51% / 11214967.32 / 764924.86; 0.80% / 0 / 1278406.27; 0.46% / 1993465.60 / 1252050.38; 1.42% / 2448556.66 / 4735242.58; 31.54% / 287686180.48 / 237042770.01; 4.92% / 13518064.26 / 5620372.80; 1.69
Prefeitura Municipal de São Caetano do Sul - SP; 3548807; SP; 157205; 2.00% / 37934139.01 / 6568616.15; 0.02% / 0 / 318518.58; 0.01% / 0 / 148616.71; 6.67% / 136808516.93 / 32489075.32; 0.01% / 106541.48 / 0.00; 1.31% / 20877456.55 / 368299.48; 0.00% / 0 / 0.00; 0.96% / 22644466.14 / 7640991.32; 0.73% / 0 / 11468256.97; 10.53% / 229742124.43 / 64940746.57; 0.01% / 0 / 179486.43; 16.43% / 339004012.34 / 81952176.17; 0.23% / 6001679.77 / 2409315.51; 0.01% / 0 / 114931.61; 2.99% / 69924959.11 / 23124261.52; 0.02% / 0 / 311338.96; 4.34% / 69496900.40 / 1604413.68; 0.37% / 6279505.26 / 546249.74; 0.00% / 0 / 436.35; 0.06% / 0 / 1006397.34; 0.00% / 0 / 0.00; 0.01% / 0 / 85156.06; 0.01% / 0 / 221813.94; 0.00% / 0 / 17288.39; 0.05% / 0 / 757671.94; 0.09% / 0 / 1477037.83; 1.35% / 22477126.69 / 1376526.77; 2.63% / 45807764.94 / 4682443.74; 48.79% / 1007105193.05 / 243810067.07; 0.37% / 0 / 5764476.11; 2.13
Prefeitura Municipal de Nilópolis - RJ; 3303203; RJ; 158299; 4.65% / 0 / 6568616.15; 0.23% / 0 / 318518.58; 3.18% / 4637943.65 / 148616.71; 6.97% / 42345004.28 / 32489075.32; 0.00% / 0 / 0.00; 1.83% / 2949753.09 / 368299.48; 0.00% / 0 / 0.00; 3.87% / 2168294.90 / 7640991.32; 15.75% / 33729702.85 / 11468256.97; 6.29% / 56047175.45 / 64940746.57; 0.13% / 0 / 179486.43; 27.49% / 43105505.26 / 81952176.17; 0.42% / 1819893.10 / 2409315.51; 0.05% / 51316.63 / 114931.61; 0.27% / 22741932.78 / 23124261.52; 0.10% / 173959.85 / 311338.96; 1.14% / 0 / 1604413.68; 1.20% / 2246274.62 / 546249.74; 0.00% / 0 / 436.35; 0.71% / 0 / 1006397.34; 0.00% / 0 / 0.00; 0.06% / 0 / 85156.06; 0.16% / 0 / 221813.94; 0.01% / 0 / 17288.39; 0.54% / 0 / 757671.94; 0.05% / 1552054.31 / 1477037.83; 0.97% / 0 / 1376526.77; 0.89% / 3426200.83 / 4682443.74; 18.97% / 216995011.60 / 243810067.07; 4.08% / 0 / 5764476.11; 1.63
Prefeitura Municipal de Jaraguá do Sul - SC; 4208906; SC; 160143; 0.15% / 7383361.74 / 6568616.15; 0.06% / 0 / 318518.58; 0.03% / 0 / 148616.71; 0.75% / 36600016.35 / 32489075.32; 0.00% / 0 / 0.00; 0.39% / 2530386.35 / 368299.48; 0.00% / 0 / 0.00; 4.72% / 33608676.94 / 7640991.32; 2.32% / 24235470.74 / 11468256.97; 11.59% / 128669503.34 / 64940746.57; 0.03% / 14662.00 / 179486.43; 6.36% / 116936252.09 / 81952176.17; 0.45% / 4910457.29 / 2409315.51; 0.04% / 314687.18 / 114931.61; 9.18% / 73592726.56 / 23124261.52; 0.48% / 2974435.54 / 311338.96; 5.78% / 33361094.82 / 1604413.68; 0.29% / 2142183.89 / 546249.74; 0.23% / 1242791.77 / 436.35; 0.45% / 3502713.32 / 1006397.34; 0.00% / 0 / 0.00; 0.02% / 208689.82 / 85156.06; 0.21% / 1385711.27 / 221813.94; 0.00% / 0 / 17288.39; 0.14% / 0 / 757671.94; 0.27% / 0 / 1477037.83; 1.55% / 9879354.20 / 1376526.77; 2.73% / 19714089.56 / 4682443.74; 47.17% / 503207264.77 / 243810067.07; 4.60% / 31071486.76 / 5764476.11; 1.62
Prefeitura Municipal de Poços de Caldas - MG; 3151800; MG; 162379; 0.21% / 7914637.75 / 6852641.17; 1.99% / 10408538.62 / 227423.57; 0.03% / 0 / 148616.71; 4.62% / 58112285.86 / 34479388.41; 0.00% / 520.40 / 0.00; 0.09% / 0 / 484136.82; 0.00% / 0 / 0.00; 3.68% / 26748789.62 / 7912899.23; 1.72% / 4238493.02 / 13055656.26; 17.15% / 158876853.57 / 71141466.51; 2.00% / 10431116.47 / 201819.63; 7.32% / 121965842.75 / 84513584.00; 0.24% / 1191298.03 / 2407191.72; 0.05% / 393973.97 / 156335.44; 2.79% / 9912976.65 / 24159914.36; 0.06% / 3641.72 / 311338.96; 7.13% / 40789620.85 / 4300410.91; 0.08% / 1053355.80 / 650605.03; 0.00% / 0 / 239.50; 0.18% / 152445.57 / 1068017.63; 0.00% / 0 / 0.00; 0.00% / 88647.26 / 99135.66; 1.61% / 8470128.05 / 221399.63; 0.00% / 11937.02 / 17288.39; 0.15% / 0 / 757671.94; 1.48% / 8997335.11 / 1448285.01; 0.90% / 6127905.82 / 1518632.05; 1.07% / 10869738.79 / 5371629.74; 44.04% / 486760082.70 / 261505728.30; 1.40% / 0 / 7137014.09; 1.99
Prefeitura Municipal de Nossa Senhora do Socorro - SE; 2804805; SE; 174974; 0.09% / 7750037.36 / 7929775.26; 1.26% / 2856997.69 / 265500.04; 0.44% / 1159078.79 / 243891.71; 1.44% / 35086278.50 / 38063563.01; 0.00% / 0 / 0.00; 0.37% / 0 / 756126.70; 0.00% / 0 / 0.00; 1.04% / 6646320.87 / 8796748.08; 6.79% / 0 / 13998889.09; 13.93% / 49842815.09 / 78572279.09; 0.16% / 0 / 321163.84; 18.73% / 57430074.54 / 96067232.11; 1.13% / 4360531.52 / 2025521.69; 0.07% / 0 / 147541.73; 1.21% / 30957451.71 / 28471275.24; 0.23% / 0 / 479549.80; 1.88% / 0 / 3875339.20; 0.21% / 642096.65 / 1067240.08; 0.00% / 0 / 239.50; 0.36% / 2226764.10 / 1491330.89; 0.00% / 0 / 0.00; 0.04% / 0 / 73398.51; 0.13% / 0 / 263077.03; 1.59% / 3306738.37 / 36985.22; 1.13% / 3078957.66 / 756907.44; 1.60% / 5140748.74 / 1836132.43; 0.03% / 1601293.77 / 1656395.19; 3.21% / 95532.41 / 6708727.99; 39.62% / 212181717.77 / 293904830.86; 3.34% / 0 / 6879437.20; 1.56
Prefeitura Municipal de Ilhéus - BA; 2913606; BA; 182350; 1.39% / 10069117.26 / 7929775.26; 6.53% / 10320816.17 / 265500.04; 0.16% / 0 / 243891.71; 7.28% / 49270274.07 / 38063563.01; 0.00% / 0 / 0.00; 0.49% / 0 / 756126.70; 0.00% / 0 / 0.00; 0.99% / 7269506.65 / 8796748.08; 9.10% / 0 / 13998889.09; 4.60% / 71484726.24 / 78572279.09; 0.21% / 0 / 321163.84; 11.24% / 78763884.65 / 96067232.11; 0.63% / 1063262.07 / 2025521.69; 0.10% / 0 / 147541.73; 15.46% / 4682972.75 / 28471275.24; 0.31% / 0 / 479549.80; 3.58% / 9382818.61 / 3875339.20; 1.28% / 3040921.30 / 1067240.08; 0.00% / 0 / 239.50; 0.65% / 491152.20 / 1491330.89; 0.00% / 0 / 0.00; 0.05% / 0 / 73398.51; 8.17% / 12836310.54 / 263077.03; 0.82% / 1297482.66 / 36985.22; 0.70% / 1837883.00 / 756907.44; 0.27% / 1414490.43 / 1836132.43; 0.83% / 386590.67 / 1656395.19; 2.69% / 2572956.24 / 6708727.99; 18.01% / 266185165.51 / 293904830.86; 4.47% / 0 / 6879437.20; 1.66
Prefeitura Municipal de Ferraz de Vasconcelos - SP; 3515707; SP; 182544; 3.34% / 44562.37 / 8374387.28; 0.11% / 0 / 265500.04; 0.81% / 2252350.84 / 243891.71; 9.36% / 19171489.85 / 42494169.41; 0.00% / 0 / 0.00; 2.45% / 7926202.19 / 1812210.06; 0.00% / 0 / 0.00; 0.65% / 10510874.50 / 8892424.96; 6.10% / 0 / 15201932.10; 21.10% / 32173396.51 / 84734753.05; 0.12% / 15000.00 / 321163.83; 4.66% / 89180209.63 / 100779189.31; 0.22% / 1716694.03 / 2271302.51; 0.06% / 0 / 147541.73; 4.34% / 42953225.37 / 32138859.32; 1.74% / 4944947.00 / 605005.21; 1.68% / 258335.02 / 4454977.19; 0.50% / 0 / 1244201.05; 0.25% / 632267.54 / 239.50; 0.32% / 774570.97 / 1571335.11; 0.00% / 0 / 0.00; 0.03% / 0 / 73398.51; 0.16% / 838517.76 / 433367.28; 0.01% / 0 / 22768.72; 0.27% / 0 / 674699.17; 0.65% / 0 / 1628032.13; 0.14% / 1722645.17 / 2059987.74; 1.46% / 10611029.57 / 6971413.67; 36.80% / 225726318.32 / 317416750.59; 2.66% / 0 / 6639994.28; 1.71
Prefeitura Municipal de Parauapebas - PA; 1505536; PA; 183352; 1.89% / 39254391.00 / 8374387.28; 0.02% / 0 / 265500.04; 0.01% / 0 / 243891.71; 5.36% / 130022101.58 / 42494169.41; 0.00% / 0 / 0.00; 1.16% / 20801712.56 / 1812210.06; 0.00% / 0 / 0.00; 1.67% / 36119694.84 / 8892424.96; 0.93% / 0 / 15201932.10; 6.64% / 193245201.88 / 84734753.05; 0.02% / 0 / 321163.83; 11.41% / 287226394.92 / 100779189.31; 0.14% / 0 / 2271302.51; 0.47% / 7879045.17 / 147541.73; 5.57% / 123133723.91 / 32138859.32; 3.93% / 64893394.61 / 605005.21; 2.32% / 42419742.10 / 4454977.19; 0.38% / 7472050.56 / 1244201.05; 0.00% / 0 / 239.50; 1.60% / 27652775.77 / 1571335.11; 0.00% / 0 / 0.00; 0.00% / 27500.00 / 73398.51; 0.01% / 648441.51 / 433367.28; 0.00% / 0 / 22768.72; 0.77% / 13330863.83 / 674699.17; 5.83% / 96907328.05 / 1628032.13; 0.23% / 5802727.72 / 2059987.74; 0.55% / 15997192.19 / 6971413.67; 48.67% / 1112834282.20 / 317416750.59; 0.41% / 0 / 6639994.28; 1.99
Prefeitura Municipal de Passo Fundo - RS; 4314100; RS; 195620; 1.61% / 11126750.08 / 8375642.83; 1.51% / 2868997.82 / 287884.09; 0.14% / 0 / 243891.71; 7.59% / 29397935.93 / 42386029.74; 0.00% / 0 / 2746.50; 3.45% / 8050350.47 / 2152734.62; 0.00% / 0 / 0.00; 3.01% / 14896040.17 / 9752090.38; 13.49% / 38962233.04 / 15883645.36; 14.93% / 71137259.12 / 96683844.13; 4.47% / 7874211.37 / 228488.64; 9.05% / 89455803.40 / 104939984.57; 0.08% / 2193205.30 / 2048005.65; 0.82% / 1549309.84 / 146651.82; 8.60% / 20546620.43 / 35269606.41; 0.31% / 1313882.56 / 783501.98; 4.43% / 135285.30 / 7708635.43; 8.81% / 16607094.88 / 1536281.96; 0.00% / 0 / 239.50; 1.21% / 3875062.86 / 1807323.27; 0.00% / 0 / 0.00; 0.37% / 680724.88 / 49898.51; 0.19% / 924295.76 / 606499.49; 0.01% / 0 / 22768.72; 0.48% / 0 / 829038.22; 0.97% / 455194.36 / 2123249.03; 0.56% / 1071396.84 / 2030944.35; 0.54% / 9342026.82 / 8419389.71; 6.93% / 332463681.23 / 344319016.61; 6.46% / 18379065.56 / 7324989.97; 1.53
Prefeitura Municipal de Itajaí - SC; 4208203; SC; 201557; 1.20% / 22654559.23 / 8375642.83; 0.67% / 8253026.84 / 287884.09; 0.02% / 0 / 243891.71; 10.33% / 165157463.25 / 42386029.74; 0.00% / 0 / 2746.50; 1.28% / 17385372.06 / 2152734.62; 0.00% / 0 / 0.00; 0.13% / 11323279.32 / 9752090.38; 2.10% / 40810169.70 / 15883645.36; 10.11% / 216853049.41 / 96683844.13; 0.06% / 900081.50 / 228488.64; 8.11% / 201338445.51 / 104939984.57; 0.15% / 3819497.83 / 2048005.65; 0.01% / 0 / 146651.82; 3.78% / 80194681.01 / 35269606.41; 0.31% / 4492033.88 / 783501.98; 1.51% / 25653772.40 / 7708635.43; 0.03% / 1149301.35 / 1536281.96; 0.00% / 0 / 239.50; 0.17% / 3827730.94 / 1807323.27; 0.00% / 0 / 0.00; 0.00% / 0 / 49898.51; 0.15% / 2416126.06 / 606499.49; 0.00% / 0 / 22768.72; 0.07% / 0 / 829038.22; 8.08% / 98229716.55 / 2123249.03; 0.54% / 8471352.79 / 2030944.35; 1.01% / 20442692.11 / 8419389.71; 49.55% / 933372351.74 / 344319016.61; 0.62% / 0 / 7324989.97; 1.64
