##Instituição; Cod.IBGE; UF; População; Top 1 CATEGORY; Top 1 %; Top 1 VALUE; Top 1 CENTROID; Top 1 DIFF ; Top 2 CATEGORY; Top 2 %; Top 2 VALUE; Top 2 CENTROID; Top 2 DIFF ; Top 3 CATEGORY; Top 3 %; Top 3 VALUE; Top 3 CENTROID; Top 3 DIFF ; Top 4 CATEGORY; Top 4 %; Top 4 VALUE; Top 4 CENTROID; Top 4 DIFF ; Top 5 CATEGORY; Top 5 %; Top 5 VALUE; Top 5 CENTROID; Top 5 DIFF ; lof_relativo_med
Prefeitura Municipal de Cordeirópolis - SP;  3512407;  SP;  22945; Despesas (Exceto Intraorçamentárias); 48.46%; 97285381.93; 38584629.37; 58700752.56; Saúde; 10.81%; 22648964.21; 9554824.94; 13094139.27; Educação; 10.57%; 27715662.48; 14908424.64; 12807237.84; Urbanismo; 09.73%; 14584547.65; 2801329.54; 11783218.11; Segurança Pública; 04.13%; 5009936.30; 5984.82; 5003951.48;  2.13
Prefeitura Municipal de Porto Franco - MA;  2109007;  MA;  22956; Despesas (Exceto Intraorçamentárias); 39.78%; 61539558.58; 38584629.37; 22954929.21; Saúde; 18.92%; 20472936.37; 9554824.94; 10918111.43; Educação; 16.82%; 24612123.18; 14908424.64; 9703698.54; Administração; 08.45%; 9971370.69; 5096985.62; 4874385.07; Urbanismo; 04.22%; 363794.55; 2801329.54; -2437534.99;  1.54
Prefeitura Municipal de Tambaú - SP;  3553302;  SP;  23187; Despesas (Exceto Intraorçamentárias); 47.86%; 60712604.63; 38947400.45; 21765204.18; Saneamento; 11.29%; 5400060.42; 264964.14; 5135096.28; Previdência Social; 08.83%; 5013035.49; 998589.65; 4014445.84; Saúde; 08.32%; 13157326.87; 9374607.47; 3782719.40; Administração; 05.08%; 7663672.24; 5351958.23; 2311714.01;  1.70
Prefeitura Municipal de Medeiros Neto - BA;  2921104;  BA;  23420; Administração; 24.94%; 8446833.32; 5238799.83; 3208033.49; Despesas (Exceto Intraorçamentárias); 21.88%; 42116409.54; 39301654.93; 2814754.61; Previdência Social; 08.87%; 0; 1140829.01; -1140829.01; Educação; 07.92%; 15426701.02; 14407378.77; 1019322.25; Urbanismo; 07.67%; 4007402.85; 3021415.86; 985986.99;  1.52
Prefeitura Municipal de Sobradinho - BA;  2930774;  BA;  23511; Administração; 42.50%; 15316805.30; 5269109.89; 10047695.41; Saúde; 23.06%; 4176085.44; 9626536.32; -5450450.88; Educação; 09.57%; 11910969.66; 14173884.36; -2262914.70; Previdência Social; 04.84%; 0; 1144166.99; -1144166.99; Urbanismo; 04.45%; 1988826.54; 3040467.06; -1051640.52;  1.55
Prefeitura Municipal de Pinheiral - RJ;  3303955;  RJ;  23691; Despesas (Exceto Intraorçamentárias); 42.86%; 57889058.70; 37620183.12; 20268875.58; Saúde; 22.99%; 20022758.64; 9149309.98; 10873448.66; Urbanismo; 06.83%; 6011972.53; 2779958.31; 3232014.22; Gestão Ambiental; 05.45%; 2635148.39; 55736.60; 2579411.79; Despesas (Intraorçamentárias); 03.53%; 1854654.29; 186368.96; 1668285.33;  1.56
Prefeitura Municipal de Ituporanga - SC;  4208500;  SC;  23777; Despesas (Exceto Intraorçamentárias); 39.40%; 50693417.98; 38954552.79; 11738865.19; Urbanismo; 16.75%; 8014339.03; 3022914.53; 4991424.50; Comércio e Serviços; 09.87%; 3015148.97; 74885.49; 2940263.48; Transporte; 07.08%; 2696987.86; 586255.10; 2110732.76; Previdência Social; 04.55%; 0; 1356071.20; -1356071.20;  1.51
Prefeitura Municipal de Agrestina - PE;  2600302;  PE;  24052; Despesas (Exceto Intraorçamentárias); 14.09%; 42438512.83; 40433157.61; 2005355.22; Saneamento; 13.00%; 2105888.01; 256144.18; 1849743.83; Administração; 11.40%; 4074949.86; 5697507.44; -1622557.58; Educação; 10.27%; 16089654.39; 14628235.42; 1461418.97; Urbanismo; 08.61%; 2028646.08; 3253913.07; -1225266.99;  1.99
Prefeitura Municipal de Umbaúba - SE;  2807600;  SE;  24251; Despesas (Exceto Intraorçamentárias); 22.44%; 38583711.40; 42976828.47; -4393117.07; Educação; 17.21%; 18709898.11; 15341011.80; 3368886.31; Saúde; 14.95%; 7397147.64; 10323905.89; -2926758.25; Administração; 11.44%; 3716836.90; 5957476.98; -2240640.08; Previdência Social; 06.27%; 0; 1228152.27; -1228152.27;  1.59
Prefeitura Municipal de São Sepé - RS;  4319604;  RS;  24448; Previdência Social; 37.48%; 11468140.00; 1068105.89; 10400034.11; Despesas (Exceto Intraorçamentárias); 24.34%; 49415255.00; 42660441.43; 6754813.57; Educação; 14.24%; 11239611.00; 15191066.64; -3951455.64; Urbanismo; 04.83%; 2011703.00; 3351582.02; -1339879.02; Administração; 02.57%; 6230728.00; 5517770.05; 712957.95;  1.57
Prefeitura Municipal de Veranópolis - RS;  4322806;  RS;  24476; Despesas (Exceto Intraorçamentárias); 39.80%; 60520257.99; 41054909.82; 19465348.17; Saúde; 12.94%; 16496279.40; 10169365.68; 6326913.72; Despesas (Intraorçamentárias); 12.85%; 6742832.36; 459617.00; 6283215.36; Previdência Social; 07.12%; 4435787.84; 953331.84; 3482456.00; Administração; 06.63%; 8601791.58; 5360410.38; 3241381.20;  1.53
Prefeitura Municipal de Goiás - GO;  5208905;  GO;  24615; Saúde; 30.45%; 21273056.66; 10208530.71; 11064525.95; Despesas (Exceto Intraorçamentárias); 26.31%; 50485811.58; 40923972.81; 9561838.77; Educação; 12.28%; 10180947.10; 14642074.75; -4461127.65; Encargos Especiais; 11.71%; 4992651.62; 736499.13; 4256152.49; Previdência Social; 04.03%; 0; 1466106.05; -1466106.05;  1.50
Prefeitura Municipal de Anastácio - MS;  5000708;  MS;  24642; Administração; 24.22%; 10773495.33; 4895987.78; 5877507.55; Despesas (Exceto Intraorçamentárias); 16.42%; 44909225.53; 40923972.81; 3985252.72; Educação; 16.07%; 10742998.71; 14642074.75; -3899076.04; Previdência Social; 06.04%; 0; 1466106.05; -1466106.05; Direitos da Cidadania; 05.01%; 1216908.75; 1616.13; 1215292.62;  2.26
Prefeitura Municipal de Jacutinga - MG;  3134905;  MG;  24648; Despesas (Exceto Intraorçamentárias); 31.90%; 49659964.53; 40923972.81; 8735991.72; Saúde; 19.61%; 15577357.57; 10208530.71; 5368826.86; Transporte; 10.48%; 3503625.44; 634571.35; 2869054.09; Previdência Social; 05.35%; 0; 1466106.05; -1466106.05; Administração; 04.31%; 3716960.62; 4895987.78; -1179027.16;  1.64
Prefeitura Municipal de Piraí do Sul - PR;  4119400;  PR;  24786; Educação; 27.04%; 11532332.20; 15849143.77; -4316811.57; Saúde; 18.89%; 13236790.14; 10221328.10; 3015462.04; Transporte; 10.28%; 2086046.57; 444889.53; 1641157.04; Legislativa; 06.96%; 0; 1110563.63; -1110563.63; Administração; 05.39%; 4486761.34; 5346519.62; -859758.28;  1.75
Prefeitura Municipal de Goianinha - RN;  2404200;  RN;  24889; Despesas (Exceto Intraorçamentárias); 47.86%; 74698184.51; 43421174.58; 31277009.93; Educação; 16.27%; 26710929.61; 16079970.54; 10630959.07; Saúde; 09.85%; 17348461.25; 10913353.05; 6435108.20; Urbanismo; 05.67%; 7011572.54; 3305169.86; 3706402.68; Administração; 05.26%; 9319728.57; 5882907.61; 3436820.96;  1.60
Prefeitura Municipal de Pão de Açúcar - AL;  2706406;  AL;  24924; Administração; 29.04%; 13164766.40; 6220527.15; 6944239.25; Despesas (Intraorçamentárias); 15.22%; 4051135.40; 412591.93; 3638543.47; Urbanismo; 13.13%; 15160.26; 3153711.74; -3138551.48; Educação; 08.70%; 18671664.22; 16591934.85; 2079729.37; Despesas (Exceto Intraorçamentárias); 07.22%; 46195546.73; 44469665.81; 1725880.92;  1.64
Prefeitura Municipal de Cajuru - SP;  3509403;  SP;  25009; Saúde; 30.92%; 18333325.25; 10951077.75; 7382247.50; Despesas (Exceto Intraorçamentárias); 15.58%; 48469225.52; 44749960.66; 3719264.86; Administração; 10.88%; 3532789.81; 6129226.13; -2596436.32; Educação; 07.53%; 15441049.01; 17239120.25; -1798071.24; Previdência Social; 05.14%; 0; 1227935.34; -1227935.34;  1.53
Prefeitura Municipal de São Gonçalo do Sapucaí - MG;  3162005;  MG;  25143; Despesas (Exceto Intraorçamentárias); 32.24%; 36217096.38; 44749960.66; -8532864.28; Educação; 25.55%; 10477731.14; 17239120.25; -6761389.11; Administração; 12.36%; 2857158.64; 6129226.13; -3272067.49; Indústria; 11.39%; 3015234.01; 0.00; 3015234.01; Saúde; 04.63%; 9724780.37; 10951077.75; -1226297.38;  1.95
Prefeitura Municipal de Santa Helena - PR;  4123501;  PR;  25159; Despesas (Exceto Intraorçamentárias); 47.51%; 101212426.76; 44749960.66; 56462466.10; Administração; 11.19%; 19428965.55; 6129226.13; 13299739.42; Transporte; 10.46%; 12930820.76; 499954.10; 12430866.66; Educação; 07.37%; 25992828.71; 17239120.25; 8753708.46; Agricultura; 04.90%; 6210019.21; 389224.85; 5820794.36;  4.91
Prefeitura Municipal de Jardim - MS;  5005004;  MS;  25328; Despesas (Exceto Intraorçamentárias); 33.67%; 60342871.15; 46377010.20; 13965860.95; Assistência Social; 24.35%; 11902231.90; 1802438.86; 10099793.04; Saúde; 13.17%; 17040919.24; 11576396.53; 5464522.71; Previdência Social; 06.40%; 4087560.87; 1431397.70; 2656163.17; Administração; 06.26%; 3748523.04; 6343661.25; -2595138.21;  1.80
Prefeitura Municipal de Mata Grande - AL;  2705002;  AL;  25659; Educação; 32.16%; 27099433.01; 16972569.38; 10126863.63; Administração; 10.72%; 10250908.89; 6874524.83; 3376384.06; Urbanismo; 10.02%; 0; 3154706.21; -3154706.21; Despesas (Intraorçamentárias); 09.95%; 3321687.80; 188680.58; 3133007.22; Despesas (Exceto Intraorçamentárias); 09.56%; 48608792.06; 45599591.05; 3009201.01;  1.68
Prefeitura Municipal de Itaí - SP;  3521804;  SP;  25792; Despesas (Exceto Intraorçamentárias); 36.43%; 61587519.53; 45599591.05; 15987928.48; Saúde; 16.24%; 17898672.20; 10772314.66; 7126357.54; Habitação; 09.11%; 4005167.24; 8905.87; 3996261.37; Despesas (Intraorçamentárias); 07.59%; 3517569.97; 188680.58; 3328889.39; Urbanismo; 05.59%; 5607502.43; 3154706.21; 2452796.22;  2.01
Prefeitura Municipal de Bom Jardim - RJ;  3300506;  RJ;  26126; Despesas (Exceto Intraorçamentárias); 40.56%; 71977397.75; 44388514.17; 27588883.58; Urbanismo; 12.17%; 11494968.83; 3214261.20; 8280707.63; Saúde; 10.98%; 17705163.59; 10238976.04; 7466187.55; Previdência Social; 10.24%; 7962725.52; 994596.91; 6968128.61; Despesas (Intraorçamentárias); 06.04%; 4212940.90; 103830.46; 4109110.44;  1.50
Prefeitura Municipal de Codajás - AM;  1301308;  AM;  26242; Despesas (Exceto Intraorçamentárias); 42.88%; 33134114.77; 43800213.09; -10666098.32; Educação; 26.42%; 11058000.75; 17627970.97; -6569970.22; Saúde; 10.66%; 7205992.89; 9856963.37; -2650970.48; Assistência Social; 04.42%; 616040.46; 1716557.80; -1100517.34; Previdência Social; 04.10%; 0; 1018736.80; -1018736.80;  1.53
Prefeitura Municipal de Ilha Solteira - SP;  3520442;  SP;  26242; Despesas (Exceto Intraorçamentárias); 47.71%; 93104098.06; 43800213.09; 49303884.97; Saúde; 10.15%; 20346289.30; 9856963.37; 10489325.93; Educação; 07.02%; 24877850.56; 17627970.97; 7249879.59; Urbanismo; 04.44%; 7980840.12; 3393193.52; 4587646.60; Despesas (Intraorçamentárias); 04.33%; 4580916.93; 103830.46; 4477086.47;  1.50
Prefeitura Municipal de Iaçu - BA;  2911907;  BA;  26382; Despesas (Exceto Intraorçamentárias); 22.66%; 48411381.56; 44700131.31; 3711250.25; Educação; 22.39%; 21626415.92; 17959448.84; 3666967.08; Urbanismo; 11.93%; 1699585.52; 3653066.57; -1953481.05; Administração; 10.56%; 8004229.96; 6274544.89; 1729685.07; Saúde; 07.98%; 11407353.73; 10100886.01; 1306467.72;  1.74
Prefeitura Municipal de Rorainópolis - RR;  1400472;  RR;  26811; Educação; 12.86%; 20662449.74; 18141378.70; 2521071.04; Saneamento; 12.42%; 2808808.95; 374125.00; 2434683.95; Despesas (Exceto Intraorçamentárias); 11.70%; 45597896.07; 43305735.79; 2292160.28; Administração; 10.84%; 3538661.88; 5663241.84; -2124579.96; Agricultura; 10.42%; 2351108.53; 309320.17; 2041788.36;  1.50
Prefeitura Municipal de Jarinu - SP;  3525201;  SP;  26921; Despesas (Exceto Intraorçamentárias); 47.71%; 83755663.00; 42072796.47; 41682866.53; Saúde; 16.35%; 23706685.04; 9422905.41; 14283779.63; Urbanismo; 11.54%; 12482541.21; 2402467.71; 10080073.50; Educação; 08.95%; 26010464.30; 18188067.79; 7822396.51; Administração; 05.82%; 11029116.69; 5941037.84; 5088078.85;  1.86
Prefeitura Municipal de Anchieta - ES;  3200409;  ES;  27145; Despesas (Exceto Intraorçamentárias); 49.04%; 284885113.43; 45968826.57; 238916286.86; Educação; 11.89%; 76739729.27; 18802072.82; 57937656.45; Saúde; 10.71%; 62631689.21; 10449978.54; 52181710.67; Administração; 05.72%; 34747204.09; 6876230.92; 27870973.17; Urbanismo; 05.68%; 30374234.79; 2702292.47; 27671942.32;  2.27
Prefeitura Municipal de Barcelos - AM;  1300409;  AM;  27273; Educação; 27.33%; 9277659.99; 17878454.40; -8600794.41; Despesas (Exceto Intraorçamentárias); 25.96%; 37249305.67; 45417355.71; -8168050.04; Urbanismo; 13.61%; 7649498.80; 3367492.25; 4282006.55; Saúde; 07.85%; 7549487.05; 10019014.32; -2469527.27; Energia; 06.36%; 2076258.63; 74672.08; 2001586.55;  1.65
Prefeitura Municipal de Carlos Barbosa - RS;  4304804;  RS;  27279; Despesas (Exceto Intraorçamentárias); 43.01%; 72354544.93; 45417355.71; 26937189.22; Despesas (Intraorçamentárias); 09.12%; 5830875.81; 119481.58; 5711394.23; Gestão Ambiental; 08.85%; 5657149.44; 112897.64; 5544251.80; Saúde; 07.51%; 14719965.51; 10019014.32; 4700951.19; Transporte; 06.36%; 4913543.35; 928939.98; 3984603.37;  1.93
Prefeitura Municipal de Piraí - RJ;  3304003;  RJ;  27579; Despesas (Exceto Intraorçamentárias); 48.52%; 138414788.97; 44069033.27; 94345755.70; Saúde; 15.43%; 39667220.25; 9657121.46; 30010098.79; Educação; 07.77%; 33303842.81; 18193593.56; 15110249.25; Administração; 07.15%; 20369089.73; 6458529.35; 13910560.38; Previdência Social; 05.12%; 10656867.59; 697095.68; 9959771.91;  2.77
Prefeitura Municipal de Triunfo - RS;  4322004;  RS;  27638; Despesas (Exceto Intraorçamentárias); 47.56%; 141114483.76; 45088877.65; 96025606.11; Educação; 14.94%; 48519740.39; 18348507.77; 30171232.62; Saúde; 09.02%; 28253541.00; 10045034.13; 18208506.87; Encargos Especiais; 05.53%; 11875992.68; 711503.51; 11164489.17; Previdência Social; 04.08%; 9101487.26; 868209.65; 8233277.61;  1.65
Prefeitura Municipal de Guararema - SP;  3518305;  SP;  28016; Despesas (Exceto Intraorçamentárias); 49.12%; 148520758.41; 44950842.62; 103569915.79; Administração; 11.76%; 31488134.71; 6702006.33; 24786128.38; Transporte; 09.64%; 20564505.73; 244738.72; 20319767.01; Educação; 07.12%; 33630927.93; 18608972.59; 15021955.34; Saúde; 06.44%; 23652342.12; 10076439.22; 13575902.90;  1.99
Prefeitura Municipal de Barra dos Coqueiros - SE;  2800605;  SE;  28093; Despesas (Exceto Intraorçamentárias); 43.69%; 65439734.20; 44902568.66; 20537165.54; Urbanismo; 15.77%; 9660665.83; 2247963.87; 7412701.96; Saúde; 09.01%; 14206858.15; 9972479.85; 4234378.30; Assistência Social; 07.99%; 5317186.95; 1559186.88; 3758000.07; Administração; 05.69%; 9553453.25; 6876929.78; 2676523.47;  1.62
Prefeitura Municipal de Jaguaré - ES;  3203056;  ES;  28126; Despesas (Exceto Intraorçamentárias); 46.61%; 75601205.90; 44902568.66; 30698637.24; Educação; 09.14%; 24943205.18; 18920530.74; 6022674.44; Saúde; 08.89%; 15827976.36; 9972479.85; 5855496.51; Saneamento; 08.27%; 6078870.22; 633007.00; 5445863.22; Assistência Social; 06.22%; 5655522.96; 1559186.88; 4096336.08;  1.56
Prefeitura Municipal de Jaguarão - RS;  4311007;  RS;  28393; Despesas (Exceto Intraorçamentárias); 17.92%; 47958930.39; 44481397.07; 3477533.32; Cultura; 14.73%; 3387129.29; 528914.99; 2858214.30; Educação; 10.15%; 16224178.33; 18195228.33; -1971050.00; Urbanismo; 09.11%; 4018488.78; 2250423.03; 1768065.75; Administração; 08.01%; 5275071.58; 6829703.99; -1554632.41;  1.78
Prefeitura Municipal de Coromandel - MG;  3119302;  MG;  28428; Saúde; 23.60%; 16945826.34; 11129174.44; 5816651.90; Educação; 22.50%; 13460699.43; 19005221.12; -5544521.69; Urbanismo; 14.87%; 6429556.17; 2766233.91; 3663322.26; Despesas (Exceto Intraorçamentárias); 11.42%; 50115708.80; 47300757.55; 2814951.25; Previdência Social; 05.81%; 0; 1432077.08; -1432077.08;  1.70
Prefeitura Municipal de Joaçaba - SC;  4209003;  SC;  28705; Despesas (Exceto Intraorçamentárias); 49.26%; 102410843.80; 47001252.56; 55409591.24; Urbanismo; 12.38%; 17091001.31; 3160806.26; 13930195.05; Saneamento; 09.61%; 11094614.43; 280866.19; 10813748.24; Encargos Especiais; 04.35%; 5250622.55; 361216.42; 4889406.13; Saúde; 03.91%; 15319329.89; 10921019.87; 4398310.02;  2.91
Prefeitura Municipal de Penha - SC;  4212502;  SC;  28718; Despesas (Exceto Intraorçamentárias); 43.04%; 63790275.95; 47001252.56; 16789023.39; Saneamento; 12.11%; 5005236.81; 280866.19; 4724370.62; Urbanismo; 10.34%; 7193106.16; 3160806.26; 4032299.90; Energia; 05.56%; 2228132.76; 61052.47; 2167080.29; Saúde; 05.09%; 12906164.51; 10921019.87; 1985144.64;  1.54
Prefeitura Municipal de Laranjeiras - SE;  2803609;  SE;  28835; Despesas (Exceto Intraorçamentárias); 47.62%; 106207550.10; 46703060.48; 59504489.62; Administração; 23.15%; 34616256.09; 5693885.22; 28922370.87; Educação; 10.01%; 32357898.61; 19854039.54; 12503859.07; Assistência Social; 04.38%; 7085591.84; 1614469.40; 5471122.44; Saúde; 03.56%; 15327257.13; 10874584.27; 4452672.86;  1.54
Prefeitura Municipal de Arraial do Cabo - RJ;  3300258;  RJ;  28866; Despesas (Exceto Intraorçamentárias); 49.07%; 120819462.41; 46703060.48; 74116401.93; Administração; 17.06%; 31464479.28; 5693885.22; 25770594.06; Saúde; 09.13%; 24669332.01; 10874584.27; 13794747.74; Direitos da Cidadania; 08.23%; 12443882.56; 5442.72; 12438439.84; Educação; 03.86%; 25678855.42; 19854039.54; 5824815.88;  9.32
Prefeitura Municipal de Tracuateua - PA;  1508035;  PA;  29125; Educação; 42.85%; 26977429.03; 19344734.15; 7632694.88; Urbanismo; 14.55%; 891319.66; 3483822.57; -2592502.91; Despesas (Exceto Intraorçamentárias); 08.88%; 49676436.84; 48094743.47; 1581693.37; Saúde; 08.06%; 10087894.95; 11523321.72; -1435426.77; Previdência Social; 06.63%; 0; 1180355.72; -1180355.72;  2.34
Prefeitura Municipal de Rancharia - SP;  3542206;  SP;  29755; Despesas (Exceto Intraorçamentárias); 42.24%; 75322419.97; 44908403.85; 30414016.12; Administração; 22.03%; 21404546.01; 5545060.24; 15859485.77; Saúde; 08.59%; 17238823.03; 11052183.90; 6186639.13; Assistência Social; 07.12%; 6710188.24; 1584788.64; 5125399.60; Educação; 05.60%; 22008872.10; 17974710.37; 4034161.73;  1.56
Prefeitura Municipal de Teutônia - RS;  4321451;  RS;  29802; Despesas (Exceto Intraorçamentárias); 47.11%; 72126777.41; 46604958.88; 25521818.53; Urbanismo; 15.88%; 12315299.24; 3712672.33; 8602626.91; Administração; 10.94%; 11500873.42; 5573977.06; 5926896.36; Saúde; 06.27%; 14551897.84; 11156154.40; 3395743.44; Agricultura; 02.95%; 2126312.63; 528997.36; 1597315.27;  1.63
Prefeitura Municipal de Armação dos Búzios - RJ;  3300233;  RJ;  30439; Despesas (Exceto Intraorçamentárias); 49.17%; 197583519.98; 49476716.23; 148106803.75; Saúde; 14.22%; 54419757.74; 11593681.51; 42826076.23; Educação; 10.45%; 51492568.99; 20026306.94; 31466262.05; Urbanismo; 08.33%; 29158179.68; 4063825.73; 25094353.95; Administração; 08.22%; 30675590.37; 5928885.45; 24746704.92;  2.98
Prefeitura Municipal de Conceição da Barra - ES;  3201605;  ES;  30895; Despesas (Exceto Intraorçamentárias); 25.57%; 60390102.22; 53114516.81; 7275585.41; Administração; 14.19%; 10614874.98; 6578194.83; 4036680.15; Urbanismo; 13.90%; 7968251.17; 4013034.07; 3955217.10; Encargos Especiais; 08.04%; 3379770.14; 1090961.32; 2288808.82; Despesas (Intraorçamentárias); 07.83%; 3458225.19; 1229253.05; 2228972.14;  1.56
Prefeitura Municipal de Macau - RN;  2407203;  RN;  31037; Administração; 40.66%; 56299994.62; 6590863.68; 49709130.94; Despesas (Exceto Intraorçamentárias); 34.51%; 96381804.46; 54188334.25; 42193470.21; Educação; 07.01%; 12882320.96; 21453027.66; -8570706.70; Saúde; 04.44%; 6890967.83; 12314460.29; -5423492.46; Comércio e Serviços; 03.57%; 4489113.39; 129880.81; 4359232.58;  1.91
Prefeitura Municipal de Ilhabela - SP;  3520400;  SP;  31599; Despesas (Exceto Intraorçamentárias); 48.28%; 195167947.73; 50594910.25; 144573037.48; Urbanismo; 13.31%; 43509562.90; 3661371.00; 39848191.90; Saúde; 09.90%; 41531000.88; 11894643.16; 29636357.72; Educação; 07.77%; 42958858.03; 19686251.12; 23272606.91; Administração; 07.58%; 29174313.88; 6489460.85; 22684853.03;  2.51
Prefeitura Municipal de Ruy Barbosa - BA;  2927200;  BA;  31780; Educação; 16.98%; 22873573.97; 18798529.53; 4075044.44; Despesas (Exceto Intraorçamentárias); 15.74%; 53062731.08; 49285908.10; 3776822.98; Urbanismo; 15.33%; 6985819.39; 3306664.14; 3679155.25; Saúde; 10.65%; 9009826.92; 11565256.51; -2555429.59; Assistência Social; 10.20%; 4156996.50; 1708834.83; 2448161.67;  1.63
Prefeitura Municipal de Pinhão - PR;  4119301;  PR;  31800; Despesas (Exceto Intraorçamentárias); 24.91%; 58041037.40; 49384143.65; 8656893.75; Educação; 14.88%; 24073630.85; 18901345.16; 5172285.69; Transporte; 13.02%; 5477473.87; 952641.43; 4524832.44; Despesas (Intraorçamentárias); 06.79%; 2919518.37; 558329.86; 2361188.51; Administração; 05.17%; 4736436.32; 6532418.75; -1795982.43;  1.53
Prefeitura Municipal de Bom Jesus das Selvas - MA;  2102036;  MA;  32133; Despesas (Exceto Intraorçamentárias); 61.70%; 0; 48735675.34; -48735675.34; Educação; 15.04%; 30342194.69; 18464496.96; 11877697.73; Administração; 06.75%; 12051883.36; 6722241.61; 5329641.75; Urbanismo; 02.92%; 488067.90; 2797474.35; -2309406.45; Saúde; 02.81%; 10419518.79; 12637475.09; -2217956.30;  1.75
Prefeitura Municipal de Matinhos - PR;  4115705;  PR;  32148; Despesas (Exceto Intraorçamentárias); 36.05%; 70163045.97; 48735675.34; 21427370.63; Urbanismo; 11.42%; 9586201.91; 2797474.35; 6788727.56; Gestão Ambiental; 09.81%; 6017669.07; 187458.78; 5830210.29; Despesas (Intraorçamentárias); 07.41%; 4498240.12; 94715.38; 4403524.74; Assistência Social; 05.65%; 4845402.58; 1487472.71; 3357929.87;  1.80
Prefeitura Municipal de Osvaldo Cruz - SP;  3534609;  SP;  32353; Despesas (Exceto Intraorçamentárias); 39.51%; 74633607.20; 50141031.38; 24492575.82; Habitação; 14.81%; 9198645.74; 14539.78; 9184105.96; Urbanismo; 11.42%; 9786716.14; 2704086.35; 7082629.79; Saúde; 11.15%; 19605283.85; 12695122.22; 6910161.63; Assistência Social; 05.45%; 4938276.11; 1560014.35; 3378261.76;  2.05
Prefeitura Municipal de Canaã dos Carajás - PA;  1502152;  PA;  32366; Despesas (Exceto Intraorçamentárias); 49.22%; 242219676.65; 50141031.38; 192078645.27; Educação; 11.84%; 65915339.51; 19711374.95; 46203964.56; Administração; 10.58%; 48375967.85; 7074480.57; 41301487.28; Saúde; 10.33%; 53019905.67; 12695122.22; 40324783.45; Urbanismo; 09.18%; 38517724.71; 2704086.35; 35813638.36;  1.93
Prefeitura Municipal de Guaíra - PR;  4108809;  PR;  32394; Despesas (Exceto Intraorçamentárias); 27.78%; 63392833.39; 50141031.38; 13251802.01; Urbanismo; 12.26%; 8553747.05; 2704086.35; 5849660.70; Educação; 11.92%; 14026347.50; 19711374.95; -5685027.45; Administração; 07.10%; 10462111.44; 7074480.57; 3387630.87; Agricultura; 05.58%; 3122782.45; 460825.36; 2661957.09;  1.88
Prefeitura Municipal de Extrema - MG;  3125101;  MG;  32402; Despesas (Exceto Intraorçamentárias); 47.01%; 97703383.05; 51490259.38; 46213123.67; Urbanismo; 09.69%; 12444513.20; 2920075.62; 9524437.58; Saúde; 09.21%; 22347772.40; 13291651.49; 9056120.91; Educação; 05.40%; 25067538.50; 19758954.95; 5308583.55; Habitação; 03.97%; 3915244.21; 14539.78; 3900704.43;  1.67
Prefeitura Municipal de Rio das Pedras - SP;  3544004;  SP;  32489; Despesas (Exceto Intraorçamentárias); 46.73%; 87020842.60; 52233377.41; 34787465.19; Saneamento; 10.32%; 8107438.44; 423437.20; 7684001.24; Educação; 09.33%; 27030602.33; 20088821.14; 6941781.19; Habitação; 06.45%; 4820650.38; 18783.07; 4801867.31; Administração; 04.31%; 10437249.18; 7231286.66; 3205962.52;  1.74
Prefeitura Municipal de Estrela - RS;  4307807;  RS;  32535; Despesas (Exceto Intraorçamentárias); 32.12%; 65953662.03; 52701687.38; 13251974.65; Despesas (Intraorçamentárias); 10.52%; 4353999.95; 14836.49; 4339163.46; Urbanismo; 09.33%; 6780601.68; 2929741.85; 3850859.83; Educação; 08.64%; 16476165.97; 20041484.55; -3565318.58; Gestão Ambiental; 07.27%; 3378499.96; 379667.90; 2998832.06;  1.78
Prefeitura Municipal de Iperó - SP;  3521002;  SP;  32568; Despesas (Exceto Intraorçamentárias); 43.46%; 76129693.91; 52701687.38; 23428006.53; Educação; 22.19%; 32006862.85; 20041484.55; 11965378.30; Urbanismo; 07.66%; 7059475.34; 2929741.85; 4129733.49; Administração; 03.88%; 5679372.73; 7770326.61; -2090953.88; Habitação; 03.46%; 1891893.35; 26942.37; 1864950.98;  1.80
Prefeitura Municipal de Pitanga - PR;  4119608;  PR;  32626; Despesas (Exceto Intraorçamentárias); 22.70%; 62422692.41; 52701687.38; 9721005.03; Urbanismo; 11.96%; 8050427.65; 2929741.85; 5120685.80; Previdência Social; 11.46%; 5787721.03; 881324.36; 4906396.67; Transporte; 07.36%; 3782316.04; 632399.36; 3149916.68; Administração; 06.81%; 4855367.07; 7770326.61; -2914959.54;  1.50
Prefeitura Municipal de Almeirim - PA;  1500503;  PA;  33466; Despesas (Exceto Intraorçamentárias); 38.29%; 77306130.90; 51059919.55; 26246211.35; Educação; 28.28%; 38231124.49; 18847641.70; 19383482.79; Saúde; 10.16%; 19821222.57; 12855535.97; 6965686.60; Administração; 07.74%; 12680198.35; 7375055.59; 5305142.76; Urbanismo; 02.53%; 1431627.62; 3163241.55; -1731613.93;  1.75
